county_id,site_id,county,is_changed,site,street,city,zip,lat,lng
56,168,MACON,0,HIGHLANDS CIVIC CENTER,600 N 4TH ST # 1,HIGHLANDS,28741,35.056711,-83.19817
56,169,MACON,0,MACON COUNTY BOARD OF ELECTIONS OFFICE,5 W MAIN ST # 127B,FRANKLIN,28734,35.182043,-83.381693
57,170,MADISON,1,HOT SPRINGS (BILL WHITTEN) COMMUNITY CENTER,43 N ANDREWS AVE,HOT SPRINGS,28743,35.893517,-82.8268
57,171,MADISON,1,MADISON COUNTY BOARD OF ELECTIONS OFFICE,140 ELIZABETH LN,MARSHALL,28753,35.814779,-82.695209
57,172,MADISON,1,MARS HILL PUBLIC LIBRARY,25 LIBRARY ST,MARS HILL,28754,35.827759,-82.547948
58,173,MARTIN,0,COMMISSIONERS' BOARD ROOM,305 E MAIN ST # 121,WILLIAMSTON,27892,35.856513,-77.051859
59,174,MCDOWELL,1,MCDOWELL COUNTY COMMISSIONER'S BOARDROOM,60 E COURT ST,MARION,28752,35.683947,-82.008227
59,175,MCDOWELL,1,OLD FORT LIBRARY,65 E MITCHELL ST,OLD FORT,28762,35.626341,-82.180058
60,176,MECKLENBURG,1,BEATTIES FORD LIBRARY,2412 BEATTIES FORD RD,CHARLOTTE,28216,35.267638,-80.853352
60,177,MECKLENBURG,1,BETTE RAE THOMAS RECREATION CENTER,2921 TUCKASEEGEE RD,CHARLOTTE,28208,35.241441,-80.877472
60,178,MECKLENBURG,1,CORNELIUS TOWN HALL,21445 CATAWBA AVE,CORNELIUS,28031,35.481856,-80.858925
60,179,MECKLENBURG,1,ELON PARK RECREATION CENTER,11401 ARDREY KELL RD,CHARLOTTE,28277,35.020602,-80.843487
60,180,MECKLENBURG,1,HAL MARSHALL ANNEX,618 N COLLEGE ST,CHARLOTTE,28202,35.230076,-80.835877
60,181,MECKLENBURG,1,HICKORY GROVE LIBRARY,5935 HICKORY GROVE RD,CHARLOTTE,28215,35.222942,-80.728155
60,182,MECKLENBURG,1,HORNETS NEST PAVILION,6301 BEATTIES FORD RD,CHARLOTTE,28216,35.319545,-80.868519
60,183,MECKLENBURG,1,HUNTERSVILLE TOWN HALL,101 HUNTERSVILLE-CONCORD RD,HUNTERSVILLE,28078,35.389449,-80.826807
60,184,MECKLENBURG,1,INDEPENDENCE REGIONAL LIBRARY,6000 CONFERENCE DR,CHARLOTTE,28212,35.176495,-80.755261
60,185,MECKLENBURG,1,MAIN BRANCH LIBRARY,310 N TRYON ST,CHARLOTTE,28202,35.228517,-80.839928
60,186,MECKLENBURG,1,MARION DIEHL CENTER,2219 TYVOLA RD,CHARLOTTE,28210,35.160456,-80.857533
60,187,MECKLENBURG,1,MATTHEWS LIBRARY,230 MATTHEWS STATION ST,MATTHEWS,28105,35.116005,-80.718327
60,188,MECKLENBURG,1,MINT HILL LIBRARY,6840 MATTHEWS-MINT HILL RD,CHARLOTTE,28227,35.171604,-80.6589
60,189,MECKLENBURG,1,MORRISON REGIONAL LIBRARY,7015 MORRISON BLVD,CHARLOTTE,28211,35.151705,-80.822901
60,190,MECKLENBURG,1,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,CHARLOTTE,28277,35.086543,-80.811591
60,191,MECKLENBURG,1,STEELE CREEK AREA,11130 SOUTH TRYON ST,CHARLOTTE,28273,35.11574,-80.962018
60,192,MECKLENBURG,1,SUGAR CREEK LIBRARY,4045 N TRYON ST,CHARLOTTE,28206,35.257446,-80.797504
60,193,MECKLENBURG,1,UNIVERSITY AREA,8802 JW CLAY BLVD,CHARLOTTE,28262,35.312511,-80.752403
60,194,MECKLENBURG,1,WEST BOULEVARD LIBRARY,2157 WEST BLVD,CHARLOTTE,28208,35.211217,-80.896174
61,195,MITCHELL,1,MITCHELL COUNTY BOARD OF ELECTIONS OFFICE,11 N MITCHELL AVE # 108,BAKERSVILLE,28705,36.015447,-82.158381
61,196,MITCHELL,1,SPRUCE PINE TOWN HALL,11050 S 226 HIGHWAY,SPRUCE PINE,28777,35.903217,-82.074909
62,197,MONTGOMERY,1,BISCOE TOWN HALL,110 W MAIN ST,BISCOE,27209,35.360174,-79.782026
62,198,MONTGOMERY,1,TROY PUBLIC LIBRARY (COMMUNITY ROOM),215 W MAIN ST,TROY,27371,35.35849,-79.895386
63,199,MOORE,1,DOUGLASS COMMUNITY CENTER,1185 W PENNSYLVANIA AVE,SOUTHERN PINES,28387,35.185621,-79.402026
